Epoch	Train_Loss	Val_Loss	Train_Acc	Val_Acc
1	2.3635	4.1518	0.24	0.22
2	1.6167	2.2316	0.44	0.35
3	1.4147	1.7253	0.51	0.42
4	1.3085	2.1581	0.55	0.42
5	1.2054	1.3127	0.58	0.58
6	1.1130	2.2290	0.62	0.39
7	1.0616	2.9311	0.63	0.30
8	1.0297	2.0009	0.64	0.45
9	0.9782	2.1905	0.66	0.42
10	0.9078	1.6159	0.68	0.53
11	0.8756	1.7437	0.69	0.52
12	0.8110	1.3261	0.72	0.57
13	0.8061	1.1852	0.72	0.62
14	0.7840	1.1739	0.73	0.62
15	0.7260	1.3041	0.75	0.59
16	0.7417	2.2557	0.74	0.45
17	0.7089	1.2154	0.75	0.59
18	0.6657	1.6418	0.76	0.54
19	0.6231	1.5383	0.79	0.58
20	0.6318	1.3468	0.79	0.59
