Epoch	Train_Loss	Val_Loss	Train_Acc	Val_Acc
1	2.0841	2.0828	0.27	0.19
2	1.5312	3.0531	0.46	0.27
3	1.3625	1.7319	0.53	0.44
4	1.2283	2.0814	0.58	0.39
5	1.1048	1.8616	0.62	0.44
6	1.0269	1.9774	0.64	0.45
7	0.9925	1.6036	0.65	0.50
8	0.9377	1.5475	0.68	0.53
9	0.9059	1.8201	0.69	0.49
10	0.8577	2.0207	0.70	0.43
11	0.8094	1.3595	0.71	0.55
12	0.7664	1.7635	0.73	0.51
13	0.7309	2.3348	0.74	0.46
14	0.6897	2.1658	0.76	0.47
15	0.6750	2.1107	0.76	0.45
16	0.6527	2.3388	0.77	0.45
17	0.6363	1.6708	0.77	0.55
18	0.5929	2.1883	0.79	0.42
19	0.5954	1.4600	0.80	0.52
20	0.5780	1.9605	0.79	0.50
