Epoch	Train_Loss	Val_Loss	Train_Acc	Val_Acc
1	2.0176	2.1498	0.30	0.33
2	1.5238	1.9177	0.47	0.36
3	1.3344	1.7790	0.54	0.43
4	1.2226	2.0988	0.58	0.43
5	1.1615	2.1616	0.60	0.40
6	1.0922	3.3758	0.62	0.29
7	1.0252	3.6983	0.64	0.29
8	1.0152	1.8232	0.65	0.46
9	0.9633	2.2856	0.66	0.41
10	0.9013	2.0393	0.69	0.43
11	0.8540	1.8894	0.70	0.44
12	0.8308	1.7725	0.71	0.51
13	0.8094	1.3325	0.72	0.56
14	0.7814	2.9659	0.72	0.37
15	0.7594	1.2962	0.73	0.60
16	0.7118	1.5882	0.75	0.50
17	0.7236	1.5983	0.75	0.51
18	0.7120	1.4184	0.75	0.51
19	0.6641	1.6261	0.77	0.52
20	0.6413	4.6720	0.78	0.28
