Epoch	Train_Loss	Val_Loss	Train_Acc	Val_Acc
1	1.3437	1.3860	0.34	0.25
2	1.1597	1.3813	0.54	0.27
3	1.0430	1.3678	0.57	0.28
4	0.9674	1.3275	0.58	0.37
5	0.9295	1.2492	0.60	0.51
6	0.9024	1.1449	0.61	0.59
7	0.8845	1.0563	0.62	0.62
8	0.8683	0.9954	0.62	0.62
9	0.8547	0.9559	0.63	0.63
10	0.8428	0.9306	0.64	0.63
11	0.8311	0.9205	0.63	0.62
12	0.8220	0.9088	0.64	0.62
13	0.8142	0.9043	0.65	0.62
14	0.7987	0.8880	0.65	0.62
15	0.7871	0.8813	0.66	0.62
16	0.7784	0.8996	0.66	0.63
17	0.7637	0.8762	0.67	0.63
18	0.7572	0.9127	0.67	0.62
19	0.7428	0.8630	0.69	0.63
20	0.7293	0.8520	0.70	0.64
21	0.7297	0.8375	0.69	0.65
22	0.7117	0.8685	0.70	0.65
23	0.7023	0.8367	0.70	0.66
24	0.7043	0.8059	0.71	0.68
25	0.6839	0.8279	0.71	0.67
26	0.6745	0.8174	0.72	0.65
27	0.6593	0.8316	0.73	0.67
28	0.6545	0.7896	0.73	0.68
29	0.6477	0.8304	0.73	0.66
30	0.6379	0.7836	0.74	0.68
31	0.6256	0.7830	0.75	0.67
32	0.6183	0.7804	0.74	0.69
33	0.6151	0.7758	0.74	0.70
34	0.6155	0.8280	0.75	0.65
35	0.6003	0.7848	0.75	0.69
36	0.5958	0.7746	0.75	0.70
37	0.5790	0.8115	0.77	0.68
38	0.5788	0.7726	0.77	0.69
39	0.5740	0.7761	0.77	0.71
40	0.5737	0.7922	0.76	0.71
