Epoch	Train_Loss	Val_Loss	Train_Acc	Val_Acc
1	1.2249	1.2797	0.40	0.44
2	0.9856	1.2113	0.58	0.46
3	0.9313	1.1621	0.63	0.49
4	0.8876	1.1127	0.65	0.53
5	0.8453	1.0731	0.65	0.54
6	0.8040	1.0481	0.68	0.52
7	0.7684	0.9937	0.70	0.54
8	0.7343	0.9726	0.72	0.54
9	0.7156	0.9639	0.73	0.56
10	0.6976	1.0575	0.74	0.55
11	0.6668	0.9467	0.75	0.58
12	0.6380	0.8532	0.76	0.63
13	0.6263	0.8768	0.77	0.62
14	0.6044	0.7579	0.77	0.70
15	0.5746	0.7261	0.80	0.70
16	0.5581	0.7472	0.79	0.69
17	0.5210	0.7114	0.81	0.73
18	0.5008	0.7057	0.82	0.72
19	0.4857	0.8061	0.83	0.65
20	0.4684	0.7655	0.83	0.70
21	0.4701	0.9089	0.83	0.59
22	0.4536	0.6937	0.83	0.73
23	0.4278	0.9012	0.86	0.61
24	0.3993	0.8056	0.86	0.69
25	0.3986	0.9698	0.86	0.60
26	0.3820	0.7497	0.87	0.70
27	0.3561	0.7414	0.88	0.69
28	0.3496	0.6611	0.88	0.75
29	0.3367	0.6907	0.89	0.72
30	0.2882	0.8104	0.92	0.67
31	0.2846	0.7485	0.91	0.69
32	0.2742	0.9539	0.92	0.65
33	0.2803	0.9961	0.92	0.61
34	0.2772	0.7817	0.92	0.69
35	0.2831	0.8309	0.91	0.65
36	0.2901	0.6367	0.91	0.74
37	0.2820	0.6477	0.91	0.76
38	0.2391	0.8572	0.93	0.66
39	0.2288	0.6908	0.94	0.75
40	0.2019	0.7974	0.95	0.68
