Epoch	Train_Loss	Val_Loss	Train_Dice	Val_Dice	Train_IoU	Val_IoU
1	1.3722	1.3982	0.17	0.18	0.09	0.10
2	1.3256	1.3959	0.29	0.18	0.17	0.10
3	1.3241	1.3854	0.30	0.24	0.18	0.14
4	1.2870	1.3694	0.34	0.01	0.21	0.01
5	1.2588	1.3505	0.35	0.00	0.22	0.00
6	1.2752	1.3331	0.33	0.00	0.20	0.00
7	1.2520	1.3175	0.35	0.00	0.21	0.00
8	1.2287	1.3020	0.38	0.00	0.23	0.00
9	1.2331	1.2874	0.37	0.00	0.23	0.00
10	1.2464	1.2791	0.37	0.01	0.23	0.00
11	1.2144	1.2739	0.41	0.01	0.26	0.01
12	1.2149	1.2661	0.38	0.03	0.24	0.02
13	1.1871	1.2565	0.45	0.08	0.29	0.04
14	1.1981	1.2427	0.43	0.16	0.28	0.09
15	1.2111	1.2290	0.42	0.23	0.27	0.13
16	1.1899	1.2200	0.43	0.26	0.27	0.15
17	1.1888	1.2096	0.43	0.32	0.28	0.19
18	1.1851	1.1869	0.43	0.41	0.27	0.26
19	1.2011	1.1876	0.41	0.39	0.26	0.24
20	1.1754	1.1647	0.44	0.46	0.28	0.30
21	1.1721	1.1456	0.44	0.51	0.29	0.34
22	1.2149	1.1450	0.38	0.50	0.24	0.34
23	1.1835	1.1441	0.43	0.51	0.28	0.34
24	1.2048	1.1495	0.40	0.49	0.25	0.32
25	1.1922	1.1482	0.40	0.48	0.25	0.31
