Epoch	Train_Loss	Val_Loss	Train_Dice	Val_Dice	Train_IoU	Val_IoU
1	1.4153	1.4082	0.16	0.18	0.09	0.10
2	1.3839	1.4049	0.23	0.20	0.13	0.11
3	1.3169	1.3976	0.31	0.20	0.18	0.11
4	1.3260	1.3861	0.30	0.20	0.18	0.11
5	1.3123	1.3723	0.31	0.23	0.19	0.13
6	1.2775	1.3762	0.37	0.22	0.22	0.13
7	1.2732	1.3478	0.34	0.27	0.21	0.15
8	1.2505	1.3243	0.38	0.33	0.24	0.20
9	1.2716	1.3127	0.36	0.34	0.22	0.21
10	1.2684	1.3079	0.35	0.33	0.21	0.20
11	1.2601	1.3026	0.37	0.33	0.23	0.19
12	1.2770	1.3016	0.35	0.32	0.21	0.19
13	1.2363	1.2897	0.40	0.34	0.25	0.21
14	1.2277	1.2832	0.39	0.35	0.24	0.21
15	1.2329	1.2766	0.38	0.35	0.24	0.22
16	1.2480	1.2701	0.37	0.36	0.22	0.22
17	1.2169	1.2685	0.40	0.36	0.25	0.22
18	1.2167	1.2758	0.40	0.35	0.25	0.21
19	1.2194	1.3128	0.40	0.33	0.25	0.20
20	1.2198	1.3152	0.41	0.33	0.25	0.20
