Epoch	Train_Loss	Val_Loss	Train_Dice	Val_Dice	Train_IoU	Val_IoU
1	0.5510	0.5138	0.21	0.00	0.12	0.00
2	0.5334	0.5115	0.26	0.00	0.15	0.00
3	0.5257	0.5089	0.28	0.03	0.16	0.02
4	0.5121	0.5059	0.30	0.18	0.17	0.10
5	0.5045	0.5029	0.29	0.30	0.17	0.18
6	0.4964	0.5047	0.29	0.32	0.17	0.19
7	0.4919	0.5257	0.28	0.29	0.16	0.17
8	0.4872	0.4927	0.27	0.27	0.16	0.16
9	0.4774	0.4957	0.31	0.19	0.18	0.11
10	0.4722	0.4902	0.29	0.21	0.17	0.12
11	0.4732	0.6175	0.28	0.28	0.16	0.16
12	0.4681	0.6527	0.27	0.34	0.16	0.20
13	0.4626	0.5649	0.28	0.34	0.16	0.21
14	0.4605	0.5022	0.29	0.37	0.17	0.23
15	0.4596	0.4939	0.30	0.39	0.17	0.24
16	0.4569	0.4919	0.31	0.39	0.18	0.25
17	0.4557	0.4771	0.31	0.39	0.19	0.25
18	0.4531	0.4624	0.33	0.29	0.20	0.17
19	0.4492	0.4658	0.33	0.32	0.20	0.19
20	0.4473	0.4803	0.31	0.38	0.18	0.23
21	0.4394	0.4937	0.38	0.38	0.24	0.24
22	0.4403	0.4842	0.37	0.39	0.23	0.24
23	0.4402	0.4668	0.35	0.40	0.22	0.25
24	0.4355	0.4537	0.37	0.41	0.22	0.26
25	0.4348	0.4612	0.37	0.41	0.23	0.26
