Epoch	Train_Loss	Val_Loss	Train_Acc	Val_Acc
1	1.9772	1.8710	0.33	0.31
2	1.4473	2.1807	0.49	0.36
3	1.2897	1.9120	0.56	0.42
4	1.1833	1.7267	0.59	0.51
5	1.0797	1.3380	0.63	0.55
6	1.0001	1.5811	0.66	0.53
7	0.9716	1.4982	0.66	0.54
8	0.9136	1.9767	0.68	0.44
9	0.8562	1.2955	0.71	0.57
10	0.7968	1.2873	0.72	0.58
11	0.7729	1.5685	0.73	0.53
12	0.7380	1.9103	0.75	0.45
13	0.7467	1.6630	0.74	0.52
14	0.7143	1.5709	0.74	0.57
15	0.6850	1.4717	0.76	0.57
16	0.6383	2.6479	0.78	0.43
17	0.6066	2.1016	0.79	0.45
18	0.5819	2.1368	0.80	0.48
19	0.5837	1.7093	0.80	0.53
20	0.5676	2.3512	0.80	0.42
