Epoch	Train_Loss	Val_Loss	Train_Acc	Val_Acc
1	2.6060	24.8387	0.21	0.14
2	1.6845	3.5493	0.41	0.24
3	1.5051	2.5481	0.47	0.31
4	1.4110	1.7489	0.51	0.43
5	1.2709	1.7277	0.57	0.48
6	1.2029	1.7713	0.59	0.46
7	1.1758	1.3500	0.60	0.56
8	1.1176	1.4611	0.61	0.55
9	1.0656	2.3326	0.63	0.37
10	0.9950	2.3776	0.66	0.40
11	0.9500	1.9315	0.67	0.48
12	0.9035	2.0150	0.69	0.45
13	0.8538	1.2630	0.71	0.59
14	0.8610	2.5501	0.70	0.33
15	0.8194	2.1482	0.72	0.45
16	0.7879	2.1849	0.73	0.41
17	0.7766	2.2931	0.73	0.44
18	0.7499	1.4692	0.74	0.56
19	0.7152	2.0344	0.76	0.46
20	0.7469	1.7048	0.74	0.51
