Epoch	Train_Loss	Val_Loss	Train_Acc	Val_Acc
1	2.0645	2.1819	0.26	0.21
2	1.5171	2.1963	0.47	0.27
3	1.3018	1.6194	0.56	0.47
4	1.1731	1.2697	0.60	0.58
5	1.0520	1.9985	0.63	0.45
6	0.9927	3.0001	0.66	0.38
7	0.9611	2.1127	0.67	0.39
8	0.8940	1.2625	0.69	0.59
9	0.8623	2.1553	0.70	0.48
10	0.8102	1.6982	0.71	0.52
11	0.7682	3.3487	0.74	0.37
12	0.7572	2.1539	0.74	0.46
13	0.7043	1.5057	0.76	0.54
14	0.6573	3.1708	0.77	0.37
15	0.6671	1.6661	0.77	0.51
16	0.6200	2.6614	0.78	0.41
17	0.6090	2.2173	0.79	0.44
18	0.5931	2.7961	0.79	0.39
19	0.5828	1.2748	0.80	0.60
20	0.5520	1.7356	0.81	0.54
