Epoch	Train_Loss	Val_Loss	Train_Acc	Val_Acc
1	2.0362	2.2463	0.28	0.16
2	1.4795	2.1212	0.49	0.29
3	1.2955	1.9205	0.56	0.42
4	1.1554	1.8075	0.59	0.43
5	1.0590	1.6581	0.63	0.49
6	1.0088	2.3386	0.65	0.39
7	0.9558	1.7029	0.67	0.49
8	0.8920	1.8683	0.69	0.47
9	0.8519	2.3210	0.70	0.43
10	0.8098	1.6910	0.72	0.51
11	0.7770	1.4751	0.74	0.56
12	0.7404	2.0010	0.74	0.51
13	0.7422	1.4007	0.74	0.56
14	0.6763	1.6079	0.77	0.52
15	0.6442	1.5164	0.78	0.55
16	0.6263	2.1465	0.78	0.50
17	0.6109	1.4232	0.79	0.60
18	0.5736	2.1151	0.80	0.46
19	0.5505	1.2103	0.81	0.62
20	0.5389	1.8219	0.81	0.52
