Epoch	Train_Loss	Val_Loss	Train_Acc	Val_Acc
1	2.0753	2.2775	0.26	0.18
2	1.5040	1.8666	0.47	0.40
3	1.3459	1.7082	0.53	0.48
4	1.1907	1.3827	0.59	0.56
5	1.0641	1.4328	0.64	0.52
6	1.0204	1.8535	0.65	0.48
7	0.9502	2.1994	0.67	0.40
8	0.8993	1.2787	0.69	0.57
9	0.8746	1.6593	0.69	0.46
10	0.8153	1.6608	0.71	0.50
11	0.7775	1.1669	0.73	0.63
12	0.7370	1.3760	0.74	0.56
13	0.7152	1.6550	0.75	0.54
14	0.6931	2.2926	0.76	0.44
15	0.6667	1.7423	0.77	0.51
16	0.6603	1.6952	0.77	0.52
17	0.6176	1.3609	0.79	0.61
18	0.5951	1.6172	0.80	0.53
19	0.5569	1.9059	0.80	0.48
20	0.5545	1.8673	0.81	0.53
