Epoch	Train_Loss	Val_Loss	Train_Acc	Val_Acc
1	0.0115	0.0367	0.76	0.51
2	0.0040	0.0205	0.90	0.57
3	0.0037	0.0362	0.92	0.53
4	0.0036	0.0127	0.93	0.61
5	0.0032	0.0286	0.93	0.51
6	0.0026	0.0552	0.94	0.50
7	0.0027	0.0553	0.94	0.50
8	0.0029	0.0311	0.93	0.50
9	0.0027	0.0229	0.94	0.55
10	0.0024	0.0238	0.95	0.56
11	0.0021	0.0293	0.95	0.56
12	0.0017	0.0226	0.96	0.54
13	0.0020	0.0057	0.96	0.92
14	0.0017	0.0167	0.96	0.55
15	0.0014	0.0363	0.97	0.51
16	0.0026	0.0163	0.94	0.67
17	0.0020	0.0296	0.96	0.51
18	0.0018	0.0096	0.96	0.72
19	0.0019	0.0093	0.96	0.72
20	0.0014	0.0138	0.97	0.64
21	0.0013	0.0082	0.97	0.78
22	0.0014	0.0047	0.97	0.93
23	0.0019	0.0169	0.96	0.71
24	0.0016	0.0130	0.96	0.69
25	0.0013	0.0123	0.97	0.73
